Algorithm,CS,StationName,ConnectedBus,Status,Chargers_11kW,Chargers_60kW,Chargers_150kW,TotalChargers,P_EVCS_MW,Q_EVCS_MVAr
B&C,CC-TM2,CC-TM2,2,Open,20,6,0,26,0.203,0.0412209081087028
B&C,CC-TLC,CC-TLC,4,Open,15,8,0,23,0.22575,0.0458404926381264
B&C,CC-HH2,CC-HH2,6,Open,12,21,0,33,0.4872,0.0989301794608868
B&C,CC-TT1,CC-TT1,8,Open,12,6,0,18,0.1722,0.0349667013611755
B&C,CC-TM1,CC-TM1,10,Open,16,9,0,25,0.2506,0.0508865003548814
B&C,CC-HH1,CC-HH1,13,Open,10,6,0,16,0.1645,0.0334031496742937
B&C,CC-BDX,CC-BDX,14,Open,10,14,6,30,0.7285,0.147928234271872
B&C,CC-TM3,CC-TM3,15,Open,10,7,0,17,0.1855,0.0376673815476078
BIPSO-GR,CC-TM2,CC-TM2,2,Open,25,37,0,62,0.87325,0.177320975398644
BIPSO-GR,CC-TLC,CC-TLC,4,Open,0,25,0,25,0.525,0.106605796832852
BIPSO-GR,CC-HH2,CC-HH2,6,Open,25,75,0,100,1.67125,0.339361786584579
BIPSO-GR,CC-TT1,CC-TT1,8,Closed,0,0,0,0,0,0
BIPSO-GR,CC-TM1,CC-TM1,10,Open,25,80,0,105,1.77625,0.36068294595115
BIPSO-GR,CC-HH1,CC-HH1,13,Open,3,2,0,5,0.05355,0.0108737912769509
BIPSO-GR,CC-BDX,CC-BDX,14,Open,13,21,2,36,0.62305,0.126515698508016
BIPSO-GR,CC-TM3,CC-TM3,15,Closed,0,0,0,0,0,0
Hybrid,CC-TM2,CC-TM2,2,Open,17,6,0,23,0.19145,0.0388755805783801
Hybrid,CC-TLC,CC-TLC,4,Open,15,8,0,23,0.22575,0.0458404926381264
Hybrid,CC-HH2,CC-HH2,6,Open,12,33,0,45,0.7392,0.150100961940656
Hybrid,CC-TT1,CC-TT1,8,Open,12,6,0,18,0.1722,0.0349667013611755
Hybrid,CC-TM1,CC-TM1,10,Open,16,9,0,25,0.2506,0.0508865003548814
Hybrid,CC-HH1,CC-HH1,13,Open,10,6,0,16,0.1645,0.0334031496742937
Hybrid,CC-BDX,CC-BDX,14,Open,7,4,3,14,0.30895,0.0627349732028756
Hybrid,CC-TM3,CC-TM3,15,Open,10,7,0,17,0.1855,0.0376673815476078
